Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access,RD Blends,RD Blends (French),RD Blended with Biodiesel,RD Maximum Biodiesel Level,NPS Unit Name,CNG Station Sells Renewable Natural Gas,LNG Station Sells Renewable Natural Gas,Maximum Vehicle Class,EV Workplace Charging,Funding Sources
ELEC,Route 17 Nissan,45 Route 17 S,,Hasbrouck Heights,NJ,07604,,,E,,Public - Call ahead,Dealership business hours; contact 201-796-5050 for more information,,,,,,1,,,Non-Networked,,GPS,40.850992,-74.075092,2024-02-12,45680,2025-02-12 00:16:32 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,,false,
ELEC,Route 22 Nissan,56 Route 22 E,,Hillside,NJ,07205,,908-964-8700,E,,Public - Call ahead,Dealership business hours,,,,,,2,1,,Non-Networked,,GPS,40.696469,-74.219681,2024-02-12,45682,2025-02-12 00:16:32 UTC,P,,,2012-01-31,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Pine Belt Nissan - Keyport,111 State Route 36,,Keyport,NJ,07735,,732-264-4333,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-8,40.42832,-74.192387,2024-02-12,45684,2025-02-12 00:16:32 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,,false,
ELEC,Causeway Nissan,435 Route 72 W,,Manahawkin,NJ,08050,,609-978-6700,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,39.701442,-74.271282,2024-02-12,45686,2025-02-12 00:16:32 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,,false,
ELEC,Acme Nissan,2050 US Highway 130,,South Brunswick,NJ,08852,,732-821-9300,E,,Public - Call ahead,Dealership business hours,,,,,,1,1,,Non-Networked,,GPS,40.40938,-74.506017,2024-02-12,45688,2025-02-12 00:16:32 UTC,P,,,2012-01-31,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Sansone Jr's 66 Nissan,3401 Route 66,,Neptune,NJ,07753,,732-922-1050,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,40.228608,-74.068718,2024-02-12,45690,2025-02-12 00:16:32 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,,false,
ELEC,North Plainfield Nissan,545 Route 22 W,,North Plainfield,NJ,07060,,,E,,Public - Call ahead,Dealership business hours; contact 908-755-6400 for more information,,,,,,1,1,,Non-Networked,,GPS,40.630184,-74.433373,2024-02-12,45692,2025-02-12 00:16:32 UTC,P,,,2012-01-31,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Nissan of Stanhope,59 Route 206,,Stanhope,NJ,07874,,973-347-2200,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,40.929732,-74.71888,2024-02-12,45694,2025-02-12 00:16:32 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,,false,
ELEC,Pine Belt Automotive,229 Route 37 E,,Toms River,NJ,08753,,732-349-3030,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,39.961373,-74.180868,2024-02-12,45696,2025-02-12 00:16:32 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,,false,
ELEC,Nissan 46,440 Route 46,,Totowa,NJ,07512,,973-256-1200,E,,Public - Call ahead,Dealership business hours,,,,,,1,1,,Non-Networked,,200-8,40.894133,-74.232511,2024-02-12,45698,2025-02-12 00:16:32 UTC,P,,,2012-01-31,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Ramsey Nissan,401 Route 17 S,,Upper Saddle River,NJ,07458,,,E,,Public - Call ahead,Dealership business hours; contact 201-825-4040 for more information,,,,,,2,1,,Non-Networked,,GPS,41.053216,-74.120288,2024-02-12,45700,2025-02-12 00:16:32 UTC,P,,,2012-01-31,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Team Nissan,1715 S Delsea Dr,,Vineland,NJ,08360,,856-696-2277,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,39.462013,-75.043179,2024-02-12,45702,2025-02-12 00:16:32 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,,false,
ELEC,Woodbury Nissan,439 Mantua Ave,,Woodbury,NJ,08096,,856-853-0150,E,,Public - Call ahead,Dealership business hours,,,,,,3,,,Non-Networked,,GPS,39.83206,-75.1581,2024-02-12,45704,2025-02-12 00:16:32 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,,false,
ELEC,Firehouse Lot 3,1st St & Sloan St,In the back of the firehouse,South Orange,NJ,07079,,973-378-7715 x2037,E,,Public,6am-11pm daily; Pay lot; Drivers must bring their own J1772 cordset for Level 1 charging,,,,,3,3,,,Non-Networked,,GPS,40.745046,-74.26042,2024-11-06,49035,2025-02-12 00:16:32 UTC,P,,,2012-09-15,,,,,J1772 NEMA520,US,,,,Public,,public,,,PAY_LOT,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Sansone Nissan,90-100 US Route 1,,Avenel,NJ,07001,,888-250-5514,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-8,40.573827,-74.290584,2024-02-12,49898,2025-02-12 00:16:32 UTC,P,,,2012-10-25,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,,false,
ELEC,Bridgewater Nissan,1400 Route 22,,Bridgewater,NJ,08807,,,E,,Public - Call ahead,Dealership business hours; contact 908-722-3600 for more information,,,,,,2,1,,Non-Networked,,200-8,40.57448,-74.57143,2024-02-12,49900,2025-02-12 00:16:32 UTC,P,,,2012-10-25,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Nissan World of Denville,3057 Route 10,,Denville,NJ,07834,,973-442-0500,E,,Public - Call ahead,Dealership business hours,,,,,,1,1,,Non-Networked,,200-8,40.86466,-74.50635,2024-02-12,49902,2025-02-12 00:16:32 UTC,P,,,2012-10-25,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Hudson Nissan,585 State Route 440,,Jersey City,NJ,07304,,201-435-2003,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,GPS,40.71696,-74.09634,2024-02-12,49905,2025-02-12 00:16:32 UTC,P,,,2012-10-25,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,,false,
ELEC,Nissan City of Red Bank,120 Newman Springs Rd E,,Red Bank,NJ,07701,,732-741-2433,E,,Public - Call ahead,Dealership business hours,,,,,,1,2,,Non-Networked,,200-8,40.33824,-74.06888,2024-02-12,49907,2025-02-12 00:16:32 UTC,P,,,2012-10-25,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Nissan World of Springfield,146-162 Route 22 W,,Springfield,NJ,07081,,973-376-8821,E,,Public - Call ahead,Dealership business hours,,,,,,1,1,,Non-Networked,,200-9,40.687162,-74.31859,2024-02-12,49910,2025-02-12 00:16:32 UTC,P,,,2012-10-25,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Nissan of Turnersville,3400 Route 42,,Turnersville,NJ,08012,,856-629-1900,E,,Public - Call ahead,Dealership business hours,,,,,,1,1,,Non-Networked,,GPS,39.730107312833624,-75.0312057989502,2024-02-12,49912,2025-02-12 00:16:32 UTC,P,,,2012-10-25,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,George Wall Ford Lincoln,700 Shrewsbury Ave,,Red Bank,NJ,07701,,732-747-5400,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,40.324267,-74.073959,2025-11-13,52006,2025-11-13 20:02:17 UTC,P,,,2013-04-15,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,CIRCLE BMW STATION 01,500 NJ-36 500 State Route 36,,Eatontown,NJ,07724,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,40.290139,-74.041359,2025-12-10,60922,2025-12-10 01:00:17 UTC,,,,2014-03-28,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,false,
ELEC,BMW SPRINGFIELD STATION 01,391-US-22 east located on east side of front,-24  7,Springfield Township,NJ,07081,,888-758-4389,E,,Public,24 hours daily,,,,,,1,,,ChargePoint Network,https://www.chargepoint.com,GPS,40.684542,-74.333898,2025-12-10,61419,2025-12-10 01:00:20 UTC,,,,2014-04-22,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,false,
ELEC,HAMILTON VW VW_408258_A,2200 NJ-33,,Trenton,NJ,08690,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,40.222952,-74.643819,2025-12-10,64192,2025-12-10 01:02:00 UTC,,,,2014-11-14,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,false,
ELEC,Station Plaza Parking Garage,50 Yard Ave,Located on the roof of the garage,Trenton,NJ,08609,,609-599-9614,E,,Public,24 hours daily; drivers must bring their own J1772 cordset for Level 1 charging,,,,,7,,,,Non-Networked,,200-8,40.219983,-74.754838,2025-11-13,65409,2025-11-13 20:02:17 UTC,P,,,2014-12-01,,,,,NEMA520,US,,,,Public,,public,,,PAY_GARAGE,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,New Brunswick Parking Authority,7 Wall St,"Gateway Garage, located on the 2nd floor",New Brunswick,NJ,08901,,732-545-3118,E,,Public,Restricted to garage hours,,,,,,5,,,Non-Networked,,GPS,40.496879,-74.446529,2025-11-13,65670,2025-11-13 20:02:17 UTC,P,,,2013-04-30,,,,,J1772,US,,,,Public,,public,,,PAY_GARAGE,,,,,,,$1 per hour; additional parking fee,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,New Brunswick Parking Authority,95 Patterson St,Wellness Deck Garage located on the corner of 100 Kirkpatrick and Church Street. Located on the 5th and 6th floors,New Brunswick,NJ,08901,,732-545-3118,E,,Public,Restricted to garage hours,,,,,,5,,,Non-Networked,,200-8,40.494646,-74.447516,2025-11-13,65671,2025-11-13 20:02:17 UTC,P,,,2013-04-30,,,,,J1772,US,,,,Public,,public,,,PAY_GARAGE,,,,,,,$1 per hour; additional parking fee,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,CHURCH ST LOT CHURCH ST LOT,12 Church Street,In parking lot at intersection of Church St. and Clark,Denville,NJ,07834,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,40.894258,-74.47802,2025-12-10,74693,2025-12-10 01:06:50 UTC,,,,2016-04-02,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,false,
ELEC,STATION ONE STATION ONE,1317 Beach Ave,Ground Level Garage,Cape May,NJ,08204,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,38.935359,-74.901942,2025-12-10,75111,2025-12-10 01:08:28 UTC,,,,2016-04-19,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,false,
ELEC,Rutgers University - RUNet Field Offices,63 Rd 1,,Piscataway,NJ,08817,,848-932-7744,E,,Public,24 hours daily,,,,,,,1,,Non-Networked,,GPS,40.515163,-74.433665,2023-12-13,76682,2025-12-03 17:36:12 UTC,P,,,2016-02-01,,,,,CHADEMO,US,,,,Public,,public,,,COLLEGE_CAMPUS,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Union Volkswagen,2155 US-22,,Union,NJ,07083,,908-364-2200,E,,Public - Call ahead,Dealership business hours; for Volkswagen use only,,,,,,2,,,Non-Networked,,200-9,40.692284,-74.285499,2024-12-10,76928,2025-02-12 00:16:32 UTC,P,,,2016-01-04,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,,,,,,,,,,,true,,,,,,,,LD,false,
ELEC,Rahway Parking Lot,67 Lewis St,Located on 1st level,Rahway,NJ,07065,,732-381-8778,E,,Public,8am-7pm daily,,,,,,2,,,Non-Networked,,200-8,40.606383,-74.274701,2025-10-13,77401,2025-10-13 20:52:30 UTC,LG,,,2016-01-01,,,,,J1772,US,,,,Public,,public,,,PARKING_LOT,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,FLEMINGTON BMW STATION 01,206-228 NJ-31,,Flemington,NJ,08822,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,40.487718,-74.862306,2025-12-10,78768,2025-12-10 00:59:48 UTC,,,,2016-09-27,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,false,
ELEC,PRESTIGE VW. VW_408281_A,4271 E Black Horse Pike,In front of Volkswagen showroom,Washington Township,NJ,08012,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,39.739546,-75.043515,2025-12-10,80128,2025-12-10 01:02:02 UTC,,,,2016-12-10,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,false,
ELEC,FRUSCIONE LLC 3500 QBR #1,3500 Quakerbridge Rd,Rear parking lot.,Hamilton Township,NJ,08619,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,40.256056,-74.681242,2025-12-10,82315,2025-12-10 01:13:53 UTC,,,,2017-04-18,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,false,
ELEC,FRUSCIONE LLC 200 CT,200 Clocktower Dr,Located at Main Entrance of Selective Insurance Building,Hamilton Township,NJ,08690,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,40.205246,-74.659446,2025-12-10,82504,2025-12-10 01:13:46 UTC,,,,2017-05-05,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,false,
ELEC,PINGRY BR 1,131 Martinsville Rd Lot 1,,Basking Ridge,NJ,07920,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,40.619297,-74.564719,2025-12-10,85487,2025-12-10 01:15:30 UTC,,,,2017-06-09,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,false,
ELEC,PRINCETON MUNI SPRING STREET,24 Spring St,First two spaces along interior wall from Spring Street entrance. Across from attendant station.,Princeton,NJ,08542,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,40.351268,-74.659425,2025-12-10,85573,2025-12-10 01:13:36 UTC,,,,2017-06-17,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,false,
ELEC,Borough of Rutherford - Borough Hall,176 Park Ave,,Rutherford,NJ,07070,,201-460-3000,T,2024-07-01,TEMPORARILY UNAVAILABLE (Public),24 hours daily,,,,,,3,,,Non-Networked,,200-9,40.826038,-74.108424,2024-02-12,86169,2025-02-12 00:16:32 UTC,LG,,,2018-08-01,,,,,J1772,US,,,,TEMPORAIREMENT SUSPENDU (Public),,public,,,MUNI_GOV,,,,,,,,,,,,,,,,,false,,,,,,,,,false,
ELEC,METROPARK EV 2,33 S Wood Ave,,Woodbridge Township,NJ,08830,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,40.565018,-74.328801,2025-12-10,87574,2025-12-10 01:08:45 UTC,,,,2017-09-12,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,false,
ELEC,Residence Inn - Secaucus Meadowlands,800 Plaza Dr,,Secaucus,NJ,07094,,201-223-9901,E,,Public,24 hours daily; for guest use only,,,,,,2,,,Non-Networked,,200-8,40.786973,-74.046449,2024-11-06,87965,2025-02-12 00:16:32 UTC,P,,,2016-03-15,,,,,J1772,US,,,,Public,,public,,,HOTEL,,,,,,,Free,,,,,,,,,,true,,,,,,,,LD,false,
ELEC,SECAUCUS MUNICIPAL LOT,1535 Paterson Plank Rd,Spot 51 near main entrance,Secaucus,NJ,07094,,888-758-4389,E,,Public,24 hours daily,,,,,,1,,,ChargePoint Network,https://www.chargepoint.com,GPS,40.79902,-74.058645,2025-12-10,87983,2025-12-10 01:13:59 UTC,,,,2017-10-11,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,false,
ELEC,GREENE 750 BUILDING NO. 11,23 Wheldon Shivers Dr,Back of Development adjacent to Building No. 11,Ewing Township,NJ,08628,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,40.274146,-74.823092,2025-12-10,88292,2025-12-10 01:11:46 UTC,,,,2017-11-03,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,false,
ELEC,EDENS PRINCETON EV STATION 01,301 N Harrison St Located by Nomad Pizza,,Princeton,NJ,08540,,888-758-4389,T,2025-06-12,TEMPORARILY UNAVAILABLE (Public),24 hours daily,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,40.363345,-74.651993,2025-12-10,92228,2025-12-10 01:22:34 UTC,,,,2018-03-07,,,,,J1772,US,,,,TEMPORAIREMENT SUSPENDU (Public),,public,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,false,
ELEC,SECAUCUS PUBLIC LIBRARY,1379 Paterson Plank Rd,"First spot ,far left of building. Next to emergency generator",Secaucus,NJ,07094,,888-758-4389,E,,Public,24 hours daily,,,,,,1,,,ChargePoint Network,https://www.chargepoint.com,GPS,40.793752,-74.059168,2025-12-10,92466,2025-12-10 01:13:59 UTC,,,,2018-03-07,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,false,
ELEC,PARKAVENUEBMW STATION 01,210 NJ-17,"Easy access from 17 North and W. Passaic St.  If approaching from W. Passaic, proceed through the Social Services parking lot - Park Ave BMW is at the rear.  EV chargers on-site.",Rochelle Park,NJ,07662,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,40.906523,-74.071136,2025-12-10,92502,2025-12-10 01:22:13 UTC,,,,2018-03-07,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,false,
